location,count
143 BISHAN ST 12,7
143 BT BATOK ST 11,10
143 LOR 2 TOA PAYOH,56
143 LOR AH SOO,84
143 MARSILING RD,25
143 MEI LING ST,28
143 PASIR RIS ST 11,50
143 PETIR RD,49
143 POTONG PASIR AVE 2,58
143 SERANGOON NTH AVE 1,92
143 TAMPINES ST 12,11
143 YISHUN RING RD,15
144 BEDOK RESERVOIR RD,22
144 BISHAN ST 12,62
144 BT BATOK WEST AVE 6,10
144 JALAN BT MERAH,11
144 LOR 2 TOA PAYOH,40
144 PASIR RIS ST 11,33
144 POTONG PASIR AVE 2,34
144 RIVERVALE DR,20
144 SERANGOON NTH AVE 1,93
144 TAMPINES ST 12,123
144 TECK WHYE LANE,6
144 YISHUN ST 11,16
145 BISHAN ST 11,74
145 BT BATOK ST 11,10
145 JALAN BT MERAH,12
145 LOR 2 TOA PAYOH,51
145 MEI LING ST,19
145 PASIR RIS ST 11,11
145 PETIR RD,17
145 POTONG PASIR AVE 2,38
145 RIVERVALE DR,25
145 SERANGOON NTH AVE 1,31
145 SIMEI ST 2,34
145 TAMPINES ST 12,113
145 WOODLANDS ST 13,39
145 YISHUN ST 11,28
146 BEDOK RESERVOIR RD,115
146 BISHAN ST 11,82
146 BT BATOK WEST AVE 6,27
146 GANGSA RD,28
146 JALAN BT MERAH,39
146 LOR 2 TOA PAYOH,40
146 PASIR RIS ST 11,26
146 POTONG PASIR AVE 1,4
146 RIVERVALE DR,14
146 SERANGOON NTH AVE 1,92
146 SIMEI ST 2,64
146 WOODLANDS ST 13,38
146 YISHUN ST 11,47
147 BEDOK RESERVOIR RD,127
147 BISHAN ST 11,74
147 BT BATOK WEST AVE 6,4
147 LOR 2 TOA PAYOH,32
147 PASIR RIS ST 13,38
147 SERANGOON NTH AVE 1,73
147 SILAT AVE,1
147 YISHUN ST 11,54
148 BEDOK RESERVOIR RD,128
148 BISHAN ST 11,19
148 BT BATOK WEST AVE 6,22
148 GANGSA RD,42
148 PASIR RIS ST 13,57
148 POTONG PASIR AVE 1,3
148 RIVERVALE CRES,16
148 SILAT AVE,14
148 SIMEI ST 1,82
148 WOODLANDS ST 13,44
148 YISHUN ST 11,78
149 BEDOK RESERVOIR RD,129
149 BISHAN ST 11,48
149 BT BATOK WEST AVE 6,17
149 PASIR RIS ST 13,29
149 PETIR RD,39
149 RIVERVALE CRES,13
149 SILAT AVE,22
149 SIMEI ST 1,61
149 WOODLANDS ST 13,59
149 YISHUN ST 11,10
14A LOR 7 TOA PAYOH,16
14A TELOK BLANGAH CRES,31
14A UPP BOON KENG RD,24
14B LOR 7 TOA PAYOH,47
15 BEACH RD,61
15 BEDOK STH RD,105
15 EUNOS CRES,10
15 FARRER PK RD,30
15 GHIM MOH RD,167
15 HOUGANG AVE 3,139
15 JOO SENG RD,123
15 ST. GEORGE'S RD,73
15 TECK WHYE LANE,134
15 UPP BOON KENG RD,160
150 ANG MO KIO AVE 5,27
150 BEDOK RESERVOIR RD,61
150 BISHAN ST 11,15
150 JALAN TECK WHYE,84
150 PASIR RIS ST 13,46
150 PETIR RD,45
150 RIVERVALE CRES,39
150 SILAT AVE,3
150 SIMEI ST 1,64
150 TAMPINES ST 12,39
150 WOODLANDS ST 13,8
150 YISHUN ST 11,60
150A BISHAN ST 11,23
151 ANG MO KIO AVE 5,19
151 BEDOK RESERVOIR RD,50
151 BISHAN ST 11,14
151 JALAN TECK WHYE,82
151 PASIR RIS ST 13,23
151 RIVERVALE CRES,7
151 SERANGOON NTH AVE 2,21
151 SIMEI ST 1,58
151 WOODLANDS ST 13,55
151 YISHUN ST 11,20
152 ANG MO KIO AVE 5,28
152 BISHAN ST 11,3
152 JALAN TECK WHYE,75
152 LOR 2 TOA PAYOH,42
152 RIVERVALE CRES,8
152 SERANGOON NTH AVE 1,11
152 WOODLANDS ST 13,44
152 YUNG HO RD,74
153 ANG MO KIO AVE 5,13
153 BISHAN ST 13,57
153 LOR 2 TOA PAYOH,16
153 RIVERVALE CRES,25
